Assinatura,Contrato,Processo,Contratado,CPF/CNPJ,_doc,Categoria,Objeto,Situacao,Valor,_valor
08/05/2026,000027/2026,000037/2026,JMP TRANSPORTES LTDA,09.426.609/0001-00,09426609000100,PRESTACAO DE SERVICOS,"Contratacao de empresa(s) especializada (s) para prestacao de servicos de transporte escolar de alunos das redes municipal e estadual de ensino, residentes na zona rural, para deslocamento ate a zona urbana, abrangendo 02(duas) linhas (nº16 e nº24), confo",Vigente,"R$ 123.492,00",123492.0
29/04/2026,000026/2026,000118/2025,CATANDUVA CONSTRUTORA E PRESTADORA DE SERVICO LTDA,55.053.541/0001-70,55053541000170,OBRAS E SERVICOS DE ENGENHARIA,"CONTRATACAO DE EMPRESA ESPECIALIZADA EM ENGENHARIA/ARQUITETURA COM A FINALIDADE DE REALIZAR SERVICOS COMUNS DE ENGENHARIA PARA REFORMA DA ANTIGA PREFEITURA, LOCALIZADA NA RUA CARLOS PRADO, ESQUINA COM A RUA TIRADENTES, Nº 55, CENTRO, MUZAMBINHO MG.",Vigente,"R$ 665.000,00",665000.0
08/05/2026,000025/2026,000037/2026,AUTOMAQUINAS TRANSPORTES LTDA,58.076.409/0001-71,58076409000171,PRESTACAO DE SERVICOS,"Contratacao de empresa(s) especializada (s) para prestacao de servicos de transporte escolar de alunos das redes municipal e estadual de ensino, residentes na zona rural, para deslocamento ate a zona urbana, abrangendo 02(duas) linhas (nº16 e nº24), confo",Vigente,"R$ 139.320,00",139320.0
23/04/2026,000024/2026,000003/2026,VMX TELECOM DIGITAL LTDA.,07.685.452/0003-65,07685452000365,PRESTACAO DE SERVICOS,"CONTRATACAO DE EMPRESA ESPECIALIZADA EM TELEFONIA DIGITAL PARA A PRESTACAO DE STFC (SERVICO TELEFONICO FIXO COMUTADO), COM INTERCONEXAO COMPROVADA PELA ANATEL A ABR (ASSOCIACAO BRASILEIRA DE TELECOMUNICACOES) NA CIDADE DE MUZAMBINHO/ MINAS GERAIS, COM TEC",Vigente,"R$ 134.960,55",134960.55
15/04/2026,000023/2026,000017/2026,G PORTAIS LTDA - ME,06.992.339/0001-06,06992339000106,PRESTACAO DE SERVICOS,"Contratacao da empresa G Portais LTDA (muzambinho.com)  especializada na prestacao de servicos de divulgacao institucional em portal eletronico de noticias e midias digitais, compreendendo: Publicacao de materias institucionais; Divulgacao de atos e acoes",Vigente,"R$ 12.996,00",12996.0
10/04/2026,000022/2026,000026/2026,VAGNER DONIZETTI ALVES,19.053.339/0001-84,19053339000184,PRESTACAO DE SERVICOS,"Contratacao da empresa VAGNER DONIZETTI ALVES (A FOLHA REGIONAL) para prestacao de servicos de publicacoes oficiais, na forma de Diario Oficial do municipio, para atender as necessidades do Municipio de Muzambinho/MG, no que diz respeito as publicacoes de",Vigente,"R$ 26.316,93",26316.93
09/04/2026,000021/2026,000019/2026,GESTAO DO CUIDADO SERVICOS DE SAUDE LTDA,47.434.926/0001-59,47434926000159,PRESTACAO DE SERVICOS,"Utilizacao da Ata de Registro de Preco nº. 21/2025 Processo nº 22/2025, PREGAO 11/2025 realizado pelo Consorcio Intermunicipal da Baixa Mogiana  CIMOG, visando a contratacao de empresa especializada na prestacao de servicos de telemedicina em multiplas es",Vigente,"R$ 159.291,59",159291.59
07/04/2026,000020/2026,000024/2026,CAMINHO DA FIBRA TELECOMUNICACOES LTDA,44.071.858/0001-12,44071858000112,PRESTACAO DE SERVICOS,Contratacao de empresa especializada na prestacao de servicos de telecomunicacao para o fornecimento de link de acesso a internet via satelite banda larga com uso da rede de satelites em orbita baixa (leo) para atender a demanda de servicos em escolas e u,Vigente,"R$ 26.040,00",26040.0
01/04/2026,000020/2026,000019/2026,GESTAO DO CUIDADO SERVICOS DE SAUDE LTDA,47.434.926/0001-59,47434926000159,PRESTACAO DE SERVICOS,"Utilizacao da Ata de Registro de Preco nº. 21/2025 Processo nº 22/2025, PREGAO 11/2025 realizado pelo Consorcio Intermunicipal da Baixa Mogiana  CIMOG, visando a contratacao de empresa especializada na prestacao de servicos de telemedicina em multiplas es",Vigente,"R$ 159.291,59",159291.59
01/04/2026,000019/2026,000074/2024,APTOMED SERVICOS DE SAUDE LTDA,64.416.816/0001-83,64416816000183,PRESTACAO DE SERVICOS,"Credenciamento para prestacao de servicos medicos especializados, na realizacao de consultas medicas especializadas, exames de imagem e procedimento oftalmologico com profissionais de nivel superior habilitados, na respectiva area.",Vigente,"R$ 87.984,00",87984.0
31/03/2026,000018/2026,000127/2025,DIRETRIZ INFORMATICA EIRELI,22.493.902/0001-40,22493902000140,PRESTACAO DE SERVICOS,"Constitui objeto do presente edital a contratacao de empresa especializada em  software para Sistema de Gestao em Saude em nuvem, com implantacao, locacao,  migracao e manutencao, suporte tecnico e acompanhamento permanente e  licenciamento de programas p",Vigente,"R$ 141.000,00",141000.0
31/03/2026,000017/2026,000002/2026,SERRALHERIA SOUZA & SOUZA LTDA,30.364.777/0001-04,30364777000104,OBRAS E SERVICOS DE ENGENHARIA,"Contratacao de empresa especializada em engenharia/arquitetura com a finalidade execucao de obra para construcao do barracao do Conselho de Desenvolvimento Comunitario do Bairro Morro Preto, bairro rural deste Municipio (Emenda nº147751/2024- Transferenci",Vigente,"R$ 103.136,72",103136.72
04/03/2026,000016/2026,000025/2026,CAMINHO DA FIBRA TELECOMUNICACOES LTDA,44.071.858/0001-12,44071858000112,PRESTACAO DE SERVICOS,"Contratacao por dispensa de licitacao de empresa para prestacao de servico de comunicacao multimidia (SCM), para o fornecimento de 03 (tres) pontos de acesso a internet via satelite de orbita baixa (LEO), destinados as Unidades Basicas de Saude.",Rescisao,"R$ 2.934,00",2934.0
02/03/2026,000015/2026,000126/2025,NEXUS VITAL SERVICOS MEDICOS LTDA,62.288.273/0001-30,62288273000130,PRESTACAO DE SERVICOS,"Credenciamento de empresa especializada para prestacao de servicos medicos especializados em consultas medicas na especialidade em Angiologia ou Cirurgia Vascular e Neurologia Clinica ou Cirurgica, de forma complementar a rede de assistencia a saude do mu",Vigente,"R$ 215.802,00",215802.0
26/02/2026,000014/2026,000000/2026,CISLAGOS,01.243.423/0001-03,01243423000103,Raterio de Consorcio Publico,"Rateio dos recursos financeiros necessarios a realizacao das despesas de custeio e investimento do Cislagos, englobando as despesas de pessoal civil, obrigacoes patronais, materiais de consumo, materiais permanentes e outros servicos de terceiros - pessoa",Vigente,"R$ 608.464,73",608464.73
23/02/2026,000013/2026,000009/2026,MZB HD PARTICIPACOES E NEGOCIOS LTDA.,10.353.104/0001-33,10353104000133,LOCACAO,"REFERENTE A LOCACAO DE IMOVEL SITUADO A RUA SETE DE SETEMBRO,  N° 1481, CENTRO, MUZAMBINHO/MG DE PROPRIEDADE DA EMPRESA MZB -HD PARTICIPACOES E NEGOCIOS LTDA PARA O FUNCIONAMENTO DA BIBLIOTECA MUNICIPAL MACHADO DE ASSIS.",Vigente,"R$ 28.629,12",28629.12
10/02/2026,000012/2026,000011/2026,ARCA DA ALEGRIA LTDA,58.664.710/0001-04,58664710000104,PRESTACAO DE SERVICOS,"Contratacao da empresa ARCA DA ALEGRIA LTDA, inscrita no CNPJ nº 58.664.710/0001-04, para a prestacao de servicos de entretenimento infantil, compreendendo a realizacao de espetaculo recreativo com personagens vivos, atividades ludicas interativas, camari",TERMINO DE PRAZO,"R$ 13.500,00",13500.0
10/02/2026,000011/2026,000008/2026,LISI PRODUCOES E EVENTOS LTDA,55.346.250/0001-70,55346250000170,PRESTACAO DE SERVICOS,"Contratacao da empresa LISI PRODUCOES E EVENTOS LTDA, para apresentacao artistica da BANDA LISI, para o evento Muza Folia 2026, que ocorrera no dia 17 de fevereiro de 2026 na Avenida Doutor Americo Luz, Muzambinho-MG.",TERMINO DE PRAZO,"R$ 30.000,00",30000.0
10/02/2026,000010/2026,000012/2026,ANTONIO MARCOS BORGES DE OLIVEIRA,18.688.908/0001-03,18688908000103,PRESTACAO DE SERVICOS,"Contratacao da empresa ANTONIO MARCOS BORGES DE OLIVEIRA, inscrita sob o CNPJ nº 18.688.908/0001-03, para a apresentacao artistica da banda ANTTONIO MARCOS - AM ELETRICO para o evento: MuzaFolia 2026, que ocorrera no dia 16 de fevereiro de 2026 na Avenida",TERMINO DE PRAZO,"R$ 20.000,00",20000.0
10/02/2026,000009/2026,000014/2026,DENIS PERLOTI AUGUSTO 10050743643,23.405.586/0001-70,23405586000170,PRESTACAO DE SERVICOS,"Contratacao da empresa DENIS PERLOTI AUGUSTO 1050743643, inscrita no CNPJ sob o nº 23.405.586/0001-70, para a apresentacao artistica da banda  DENIS AUGUSTO no evento Muza Folia 2026, que ocorrera no dia 16 de fevereiro de 2026 na Avenida Doutor Americo L",TERMINO DE PRAZO,"R$ 5.000,00",5000.0
10/02/2026,000008/2026,000005/2026,58.907.699 LEONARDO DE VASCONCELOS ALVES LIMA,58.907.699/0001-58,58907699000158,PRESTACAO DE SERVICOS,"Contratacao da empresa LEONARDO DE VASCONCELOS ALVES LIMA  inscrita no CNPJ sob o nº 58.907.699/001-58, para a apresentacao artistica da banda Papaue para o evento Muza Folia 2026, que ocorrera no dia 13 de fevereiro de 2026 na Avenida Doutor Americo Luz,",TERMINO DE PRAZO,"R$ 35.000,00",35000.0
10/02/2026,000007/2026,000006/2026,JOSE LUCAS NEVES DOS SANTOS 09404110671,48.173.916/0001-70,48173916000170,PRESTACAO DE SERVICOS,"Contratacao da empresa Jose Lucas Neves dos Santos para a apresentacao artistica da banda POMBO CHESTER para o MUZAFOLIA 2026, que ocorrera no dia 15 de fevereiro de 2026 na Avenida Doutor Americo Luza, Muzambinho-MG.",TERMINO DE PRAZO,"R$ 4.060,00",4060.0
10/02/2026,000006/2026,000013/2026,ROBERTO RODRIGUES CARDOSO 47930136604,23.738.097/0001-30,23738097000130,PRESTACAO DE SERVICOS,"Contratacao da empresa ROBERTO RODRIGUES CARDOSO, incscrita no CNPJ sob o nº 23.738.097/0001-30, para a apresentacao artistica da banda Os Dragoes para o evento: Muza Folia 2026, que ocorrera nos dias 13 e 15 de fevereiro de 2026 na Avenida Doutor Americo",TERMINO DE PRAZO,"R$ 14.000,00",14000.0
09/02/2026,000005/2026,000010/2026,MFM PRODUCOES ARTISTICAS LTDA,07.333.044/0001-82,07333044000182,PRESTACAO DE SERVICOS,"Contratacao da empresa MFM PRODUCOES ARTISTICAS LTDA, para apresentacao da BANDA TCHAKABUM, no evento MUZAFOLIA 2026 no dia 14 de fevereiro de 2026 na Avenida Doutor Americo Luz.",TERMINO DE PRAZO,"R$ 123.000,00",123000.0
09/02/2026,000004/2026,000007/2026,SENTIMENTO PRODUCOES ARTISTICAS LTDA,34.164.532/0001-86,34164532000186,PRESTACAO DE SERVICOS,"Contratacao da empresa Sentimento Producoes Artisticas Ltda para a apresentacao da dupla Felipe e Rodrigo no evento Muza Folia 2026 no dia 15 de fevereiro de 2026 na Avenida Doutor Americo Luz, Muzambinho-MG.",TERMINO DE PRAZO,"R$ 163.000,00",163000.0
09/02/2026,000003/2026,000091/2025,JJI TELECOMUNICACOES LTDA,37.795.261/0001-55,37795261000155,PRESTACAO DE SERVICOS,"Contratacao de empresa(s) especializada(s) para prestacao de servico de conexao e acesso permanente a Internet em banda larga, utilizando IP publico, intranet para uso na area urbana e/ou area rural, incluindo todos os elementos necessarios ao perfeito fu",Vigente,"R$ 91.896,00",91896.0
11/02/2026,000002/2026,000000/2026,CONSORCIO INTERMUNICIPAL DA BAIXA MOGIANA - CIMOG,32.308.233/0001-42,32308233000142,Raterio de Consorcio Publico,Referente ao contrato de rateio das despesas de manutencao e custeio do CIMOG para o exercicio de 2026.,Vigente,"R$ 42.000,00",42000.0
28/01/2026,000002/2026,000140/2025,VIDA ANIMAL VETERINARIA LTDA,03.828.461/0001-45,03828461000145,PRESTACAO DE SERVICOS,"Contratacao de pessoa (s) juridica (s) para prestacao de servicos de execucao de procedimentos relacionados a castracao cirurgica e microchipagem, inclusive avaliacao clinica pre-cirurgica, medicamentos pos-cirurgicos e retirada de suturas, em caes e gato",Vigente,"R$ 100.130,00",100130.0
15/01/2026,000001/2026,000000/2026,CISMARPA- CONSORCIO INTERMUNICIPAL DE SAUDE,01.990.521/0001-04,01990521000104,Raterio de Consorcio Publico,"REPASSE FINANCEIRO PARA A COOPERACAO MUTUA ENTRE AS PARTES, VISANDO A MANUTENCAO DO CONSORCIO, A PRESTACAO DE SERVICOS COMPLEMENTARES DE SAUDE, ASSESSORIA E A REALIZACAO DE CONSULTAS E EXAMES COMPLEMENTARES AOS USUARIOS DO MUNICIPIO.",Vigente,"R$ 440.390,28",440390.28
16/01/2026,000001/2026,000001/2026,GRAFICA E EDITORA POSIGRAF LTDA,75.104.422/0008-82,75104422000882,COMPRAS E SERVICOS,"Contratacao da empresa GRAFICA E EDITORA POSIGRAF LTDA, inscrita no CNPJ sob o nº 75.104.422/0008-82, para fornecimento de material didatico/pedagogico do Sistema de Ensino Aprende Brasil, destinado as turmas do Ensino Fundamental I da rede municipal de e",Vigente,"R$ 559.855,20",559855.2
